Año,Ibarra,Quito,Guayaquil
2015,204568,2551721,2589229
2016,207907,2597989,2617349
2017,211235,2644145,2644891
2018,214552,2690150,2671801
2019,217856,2735987,2698077
2020,221149,2781641,2723665
